source_file,question_id,inputs_duration_sum_sec,question_time_span_sec,choices_time_span_median_sec,effective_duration_sec,duration_source
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_0,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_1,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_2,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_3,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_4,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_5,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_6,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_7,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_8,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_9,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_10,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_11,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_12,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_13,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_14,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_15,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_16,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_17,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_18,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_19,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_20,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_21,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_22,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_23,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_24,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_25,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_26,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_27,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_28,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_29,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_30,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_31,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_32,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_33,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_34,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_35,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_36,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_37,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_38,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_39,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_40,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_41,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_42,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_43,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_44,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_45,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_46,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_47,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_48,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_49,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_50,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_51,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_52,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_53,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_54,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_55,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_56,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_57,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_58,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_59,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_60,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_61,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_62,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_63,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_64,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_65,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_66,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_67,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_68,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_69,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_70,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_71,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_72,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_73,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_74,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_75,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_76,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_77,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_78,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_79,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_80,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_81,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_82,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_83,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_84,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_85,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_86,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_87,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_88,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_89,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_90,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_91,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_92,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_93,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_94,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_95,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_96,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_97,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_98,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_99,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_100,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_101,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_102,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_103,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_104,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_105,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_106,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_107,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_108,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_109,,,,,none
3d_perception_fixture_interaction_counting.json,3d_perception_fixture_interaction_counting_110,,,,,none
